Date,longitude,latitude,VV,VH,NDVI
30/12/2017,1.325840311,57.96708328,0.03750897,0.001343048,0.031269796
30/12/2017,1.494803518,57.9691957,0.036531053,0.001219113,0.031269796
30/12/2017,1.663789238,57.97108366,0.042121142,0.001546738,0.031269796
30/12/2017,1.832794946,57.97274711,0.05207041,0.001772845,0.031269796
30/12/2017,2.00181812,57.97418601,0.05444354,0.001697349,0.031269796
30/12/2017,-0.521765502,57.83940464,0.005609217,0.001362273,0.024308152
30/12/2017,-0.353633099,57.84396438,0.012797591,9.43E-04,0.024308152
30/12/2017,-0.185451033,57.84830154,0.012394453,7.49E-04,0.030801227
30/12/2017,-0.01722177,57.85241598,0.0127212,6.67E-04,0.031269796
30/12/2017,0.151052219,57.85630757,0.018398883,7.30E-04,0.031269796
30/12/2017,0.319368458,57.8599762,0.020516358,6.69E-04,0.031269796
30/12/2017,0.487724467,57.86342175,0.022240667,8.60E-04,0.031269796
30/12/2017,0.656117765,57.86664412,0.021833127,7.14E-04,0.031269796
30/12/2017,0.824545865,57.86964321,0.024437908,0.001582481,0.031269796
30/12/2017,0.993006276,57.87241892,0.023412334,0.001308727,0.031269796
30/12/2017,1.161496508,57.87497118,0.02547262,0.001167414,0.031269796
30/12/2017,1.330014064,57.87729989,0.035054322,0.001316558,0.031269796
30/12/2017,1.498556446,57.879405,0.038587313,0.001421432,0.031269796
30/12/2017,1.667121155,57.88128644,0.045691967,0.001455794,0.031269796
30/12/2017,1.835705688,57.88294414,0.051715445,0.001559245,0.031269796
30/12/2017,2.004307541,57.88437806,0.053855274,0.001600757,0.031269796
30/12/2017,-0.513033014,57.74975046,0.005143371,0.001214356,0.024308152
30/12/2017,-0.345315561,57.7542945,0.012189126,9.75E-04,0.024308152
30/12/2017,-0.177548853,57.75861671,0.013343387,7.61E-04,0.024308152
30/12/2017,-0.009735337,57.76271696,0.015079961,7.89E-04,0.030801227
30/12/2017,0.158122538,57.76659514,0.013478076,5.71E-04,0.030801227
30/12/2017,0.326022315,57.77025112,0.020036163,6.67E-04,0.031269796
30/12/2017,0.493961535,57.77368478,0.017845025,6.18E-04,0.031269796
30/12/2017,0.661937737,57.77689604,0.025069265,7.39E-04,0.031269796
30/12/2017,0.829948454,57.77988477,0.025109425,0.001518992,0.031269796
30/12/2017,0.997991217,57.78265091,0.024310306,0.001166236,0.031269796
30/12/2017,1.166063554,57.78519436,0.028693764,0.001130657,0.031269796
30/12/2017,1.334162989,57.78751503,0.03246431,0.001150617,0.031269796
30/12/2017,1.502287047,57.78961288,0.03811856,0.00134682,0.031269796
30/12/2017,1.670433247,57.79148781,0.04089842,0.001449209,0.031269796
30/12/2017,1.838599108,57.79313979,0.054906197,0.001774424,0.031269796
30/12/2017,2.006782146,57.79456876,0.04670668,0.001449698,0.031269796
30/12/2017,-0.002293262,57.67301605,0.011478414,5.78E-04,0.024308152
30/12/2017,0.165150954,57.67688088,0.007740632,4.25E-04,0.030801227
30/12/2017,0.332636728,57.68052427,0.021894956,7.44E-04,0.030801227
30/12/2017,0.500161622,57.68394611,0.01781782,7.53E-04,0.031269796
30/12/2017,0.667723193,57.6871463,0.023287559,7.89E-04,0.031269796
30/12/2017,0.835318996,57.69012474,0.024155105,0.001460578,0.031269796
30/12/2017,1.002946582,57.69288135,0.02828748,0.001340621,0.031269796
30/12/2017,1.1706035,57.69541603,0.026359407,0.001204076,0.031269796
30/12/2017,1.338287293,57.69772871,0.030134046,0.001176613,0.031269796
30/12/2017,1.505995506,57.69981932,0.032354496,0.001139239,0.031269796
30/12/2017,1.673725679,57.70168779,0.035980556,0.001177265,0.031269796
30/12/2017,1.841475351,57.70333407,0.053257644,0.001518389,0.031269796
30/12/2017,2.00924206,57.70475812,0.042910047,0.001247337,0.031269796
30/12/2017,0.840657756,57.60036311,0.026458653,0.001469288,0.031269796
30/12/2017,1.007872617,57.60311023,0.023814846,0.001170642,0.031269796
30/12/2017,1.175116569,57.60563619,0.029087467,0.001165504,0.031269796
30/12/2017,1.342387177,57.60794091,0.03462503,0.001154648,0.031269796
30/12/2017,1.509682004,57.61002432,0.030630633,0.001088461,0.031269796
30/12/2017,1.676998612,57.61188637,0.044203036,0.001404515,0.031269796
30/12/2017,1.844334558,57.61352698,0.041137956,0.001409043,0.031269796
30/12/2017,2.011687401,57.61494612,0.048784427,0.001583187,0.031269796
30/12/2017,1.680252205,57.52208354,0.035870474,0.001162147,0.031269796
30/12/2017,1.847176869,57.52371851,0.04330327,0.001217623,0.031269796
30/12/2017,2.014118291,57.52513277,0.04879847,0.001239291,0.031269796
30/12/2017,-0.5925946,57.70710745,0.00430926,0.001392789,0.024308152
30/12/2017,-0.425088231,57.71175477,0.005064021,7.83E-04,0.024308152
30/12/2017,-0.583732037,57.61745827,0.004244963,0.001315452,0.043858174
30/12/2017,-0.416636877,57.62208962,0.00858405,9.48E-04,0.024308152
30/12/2017,-0.249491842,57.6265003,0.009701191,6.24E-04,0.024308152
30/12/2017,-0.082299348,57.6306902,0.012044267,5.35E-04,0.024308152
30/12/2017,0.084938185,57.63465919,0.008676462,4.03E-04,0.024308152
30/12/2017,0.252218334,57.63840713,0.023017906,8.02E-04,0.030801227
30/12/2017,0.41953867,57.64193393,0.016486203,7.71E-04,0.030801227
30/12/2017,-0.574921762,57.52780694,0.006309795,0.001065682,0.043858174
30/12/2017,-0.4082354,57.53242239,0.006629948,6.92E-04,0.043858174
30/12/2017,-0.24149957,57.53681794,0.007182449,5.28E-04,0.024308152
30/12/2017,-0.074716668,57.54099345,0.00698987,4.27E-04,0.024308152
30/12/2017,0.092110906,57.5449488,0.008551556,4.46E-04,0.024308152
30/12/2017,0.258980746,57.54868387,0.01457748,6.19E-04,0.024308152
30/12/2017,0.425890446,57.55219854,0.020744536,7.97E-04,0.030801227
30/12/2017,0.592837591,57.55549272,0.016933504,6.96E-04,0.030801227
30/12/2017,0.759819769,57.5585663,0.021007564,0.001575579,0.031269796
30/12/2017,0.926834559,57.56141918,0.022742152,0.00122294,0.031269796
30/12/2017,1.09387954,57.56405129,0.026782881,0.001280949,0.031269796
30/12/2017,-0.566163348,57.43815348,0.006901001,0.001145962,0.043858174
30/12/2017,-0.399883392,57.4427531,0.006061066,7.56E-04,0.043858174
30/12/2017,-0.23355437,57.44713358,0.00593453,5.04E-04,0.043858174
30/12/2017,-0.06717866,57.45129477,0.008094505,4.90E-04,0.024308152
30/12/2017,0.099241358,57.45523656,0.009342514,4.84E-04,0.024308152
30/12/2017,0.265703299,57.45895881,0.008917572,3.83E-04,0.024308152
30/12/2017,0.432204774,57.46246143,0.019445578,5.61E-04,0.024308152
30/12/2017,0.59874339,57.4657443,0.017366448,5.84E-04,0.030801227
30/12/2017,0.765316752,57.46880733,0.018092653,0.001256325,0.030801227
30/12/2017,0.931922461,57.47165042,0.022346191,0.001219256,0.031269796
30/12/2017,1.098558115,57.47427349,0.021450356,0.001107405,0.031269796
30/12/2017,1.26522131,57.47667645,0.035337977,0.001301034,0.031269796
30/12/2017,1.431909637,57.47885925,0.036088753,0.00121487,0.031269796
30/12/2017,1.59862069,57.4808218,0.036644187,0.00122814,0.031269796
30/12/2017,1.765352055,57.48256405,0.03907529,0.001264053,0.031269796
30/12/2017,1.93210132,57.48408596,0.04729989,0.001317961,0.031269796
30/12/2017,-0.723281273,57.34369572,0.002525296,7.97E-04,0.043858174
30/12/2017,-0.557456372,57.34849787,0.006484482,8.65E-04,0.043858174
30/12/2017,-0.39158045,57.35308176,0.006265446,5.94E-04,0.043858174
30/12/2017,-0.22565586,57.35744724,0.006454848,4.46E-04,0.043858174
30/12/2017,-0.05968496,57.36159418,0.006171427,3.77E-04,0.043858174
30/12/2017,0.106329888,57.36552247,0.00804052,4.07E-04,0.024308152
30/12/2017,0.272386318,57.36923197,0.010276318,4.77E-04,0.024308152
30/12/2017,0.43848196,57.37272258,0.011600019,5.74E-04,0.024308152
30/12/2017,0.604614443,57.37599421,0.017160017,5.53E-04,0.030801227
30/12/2017,0.770781389,57.37904673,0.02596246,0.001395462,0.030801227
30/12/2017,0.936980418,57.38188008,0.02900083,0.001333108,0.030801227
30/12/2017,1.103209149,57.38449415,0.02327026,0.001244371,0.031269796
30/12/2017,1.269465196,57.38688888,0.024925807,0.001220699,0.031269796
30/12/2017,1.435746173,57.38906419,0.02959915,0.001118354,0.031269796
30/12/2017,1.602049688,57.39102001,0.03852205,0.001262427,0.031269796
30/12/2017,1.768373351,57.39275629,0.035151027,0.001085048,0.031269796
30/12/2017,1.934714768,57.39427297,0.042873625,0.001150245,0.031269796
30/12/2017,-0.714224052,57.25405439,0.007127225,0.001452324,0.043858174
30/12/2017,-0.548800419,57.25884014,0.006569328,8.96E-04,0.043858174
30/12/2017,-0.383326177,57.26340836,0.006736231,6.92E-04,0.043858174
30/12/2017,-0.217803661,57.26775892,0.007796617,5.39E-04,0.043858174
30/12/2017,-0.05223521,57.27189168,0.008524619,4.48E-04,0.043858174
30/12/2017,0.113376834,57.27580653,0.00724755,3.41E-04,0.043858174
30/12/2017,0.279030123,57.27950334,0.009197999,3.59E-04,0.024308152
30/12/2017,0.444722307,57.28298201,0.010116853,4.40E-04,0.024308152
30/12/2017,0.610451032,57.28624244,0.011537157,0.001359054,0.024308152
30/12/2017,0.77621394,57.28928452,0.019315578,0.001177424,0.030801227
30/12/2017,0.942008673,57.29210817,0.024302728,9.95E-04,0.030801227
30/12/2017,1.107832866,57.29471329,0.022370439,8.99E-04,0.030801227
30/12/2017,1.273684154,57.29709982,0.022368627,0.001052249,0.031269796
30/12/2017,1.439560168,57.29926768,0.028061895,0.001317067,0.031269796
30/12/2017,1.605458539,57.3012168,0.03246902,0.001279015,0.031269796
30/12/2017,1.771376894,57.30294713,0.036133833,0.001274228,0.031269796
30/12/2017,1.937312858,57.30445862,0.038797755,0.001138811,0.031269796
30/12/2017,-0.70521977,57.16441087,0.009359783,0.001243979,0.043858174
30/12/2017,-0.540195074,57.16918028,0.005550023,6.86E-04,0.043858174
30/12/2017,-0.375120178,57.17373291,0.005967136,4.99E-04,0.043858174
30/12/2017,-0.209997397,57.17806862,0.008134121,4.71E-04,0.043858174
30/12/2017,-0.044829052,57.18218727,0.007502106,3.89E-04,0.043858174
30/12/2017,0.120382534,57.18608875,0.008650592,3.79E-04,0.043858174
30/12/2017,0.285635032,57.18977293,0.007590108,3.47E-04,0.024308152
30/12/2017,0.450926111,57.19323972,0.010396183,4.74E-04,0.024308152
30/12/2017,0.616253436,57.196489,0.01170009,0.001283596,0.024308152
30/12/2017,0.781614668,57.19952069,0.013665621,0.001051016,0.024308152
30/12/2017,0.947007467,57.20233468,0.019824995,0.001061927,0.030801227
30/12/2017,1.112429488,57.2049309,0.019009847,9.60E-04,0.030801227
30/12/2017,1.277878384,57.20730927,0.022724552,0.001022747,0.030801227
30/12/2017,1.443351807,57.20946971,0.023985848,0.001048507,0.030801227
30/12/2017,1.608847405,57.21141217,0.028583681,9.93E-04,0.031269796
30/12/2017,1.774362826,57.21313658,0.040737346,0.001303207,0.031269796
30/12/2017,1.939895714,57.2146429,0.035276894,0.001085752,0.031269796
30/12/2017,-0.696268001,57.07476514,0.009114485,0.001155433,0.043858174
30/12/2017,-0.531639931,57.0795183,0.008390372,7.43E-04,0.043858174
30/12/2017,-0.366962065,57.08405542,0.006679974,6.17E-04,0.043858174
30/12/2017,-0.202236699,57.08837634,0.007329186,4.89E-04,0.043858174
30/12/2017,-0.037466135,57.09248095,0.010493555,4.82E-04,0.043858174
30/12/2017,0.127347322,57.09636912,0.009175544,4.05E-04,0.043858174
30/12/2017,0.292201361,57.10004074,0.010787077,3.69E-04,0.043858174
30/12/2017,0.45709367,57.1034957,0.009570659,3.89E-04,0.024308152
30/12/2017,0.622021932,57.1067339,0.012679017,0.001219363,0.024308152
30/12/2017,0.786983829,57.10975524,0.011448005,8.75E-04,0.024308152
30/12/2017,0.951977038,57.11255962,0.017880768,8.40E-04,0.024308152
30/12/2017,1.116999233,57.11514698,0.024220247,9.54E-04,0.030801227
30/12/2017,1.282048087,57.11751722,0.024907276,9.31E-04,0.030801227
30/12/2017,1.44712127,57.11967029,0.024777062,0.001100771,0.030801227
30/12/2017,1.612216449,57.12160612,0.026328018,0.001116121,0.030801227
30/12/2017,1.777331291,57.12332464,0.035859287,0.00129045,0.031269796
30/12/2017,1.942463459,57.12482581,0.038731694,0.001281364,0.031269796
30/12/2017,-0.687368323,56.98511722,0.014276541,0.001148852,0.026873337
30/12/2017,-0.523134586,56.98985421,0.011143287,7.04E-04,0.043858174
30/12/2017,-0.358851451,56.99437588,0.00687975,5.24E-04,0.043858174
30/12/2017,-0.194521199,56.9986821,0.008539576,4.75E-04,0.043858174
30/12/2017,-0.030146111,57.00277273,0.010523007,4.88E-04,0.043858174
30/12/2017,0.134271525,57.00664766,0.009256396,4.10E-04,0.043858174
30/12/2017,0.298729418,57.01030678,0.010788503,4.18E-04,0.043858174
30/12/2017,0.463225274,57.01374997,0.009198193,4.98E-04,0.043858174
30/12/2017,0.627756794,57.01697713,0.010622309,0.001104755,0.024308152
30/12/2017,0.792321678,57.01998817,0.011712601,9.12E-04,0.024308152
30/12/2017,0.956917622,57.02278299,0.011944122,8.19E-04,0.024308152
30/12/2017,1.12154232,57.02536153,0.01869594,9.99E-04,0.024308152
30/12/2017,1.286193462,57.02772369,0.022638146,9.39E-04,0.030801227
30/12/2017,1.450868737,57.02986942,0.021877784,8.81E-04,0.030801227
30/12/2017,1.615565831,57.03179864,0.02286969,8.69E-04,0.030801227
30/12/2017,1.780282429,57.0335113,0.030823955,0.001008351,0.030801227
30/12/2017,1.945016214,57.03500735,0.11785251,0.013915376,0.0370845
30/12/2017,-0.842310737,56.89053175,0.009383552,0.001196659,0.014893805
30/12/2017,-0.678520318,56.89546711,0.00925185,8.65E-04,0.026873337
30/12/2017,-0.514678639,56.90018801,0.008393889,6.01E-04,0.026873337
30/12/2017,-0.350787957,56.90469431,0.011768771,5.52E-04,0.043858174
30/12/2017,-0.186850534,56.90898589,0.007427382,4.48E-04,0.043858174
